text,label,label_str
"Cơ hội của bạn để tham gia chương trình tưởng tượng thực tế Gọi ngay = 08707509020 Chỉ cần 20p mỗi phút NTT LTD, PO Box 1327 Croydon CR9 5WB 0870 là một cuộc gọi quốc gia = tỷ lệ",1,spam
"Anh ấy không thể tranh luận và anh ấy luôn đối xử với tôi như phụ của anh ấy, giống như anh ấy không bao giờ thả tôi ra ... điều mà anh ấy đã làm và tôi sẽ nhắc nhở anh ấy về điều đó nếu cần thiết",0,ham
"""Hình ảnh đất nước chúng ta đã bị các băng nhóm lừa đảo trực tuyến làm tổn hại và hoen ố"", quyền Quốc trưởng Campuchia Hun Sen nói trong cuộc họp với các quan chức ngày 24/5, bày tỏ thất vọng trước những thiệt hại về uy tín mà tội phạm công nghệ gây ra cho Campuchia trong những năm gần đây. Ông Hun Sen nói thêm tội phạm lừa đảo trực tuyến trong tương lai có thể trở thành ""mối đe dọa nghiêm trọng đối với quốc gia"". Ông cho rằng nước này cũng là ""nạn nhân"" vì hầu hết các đường dây tội phạm lừa đảo có tổ chức tại đây đều do người nước ngoài điều hành. Ông đề nghị Thủ tướng Hun Manet và Bộ trưởng Nội vụ Sar Sokha ra lệnh cho các cơ quan chức năng thẩm vấn những người bị bắt không có hộ chiếu hay giấy tờ tùy thân, và xác định họ đã nhập cảnh Campuchia qua cửa khẩu nào. ""Một số người đến từ châu Phi và các quốc gia xa xôi khác, thậm chí không giáp biên giới với Campuchia. Đây không chỉ là vấn đề của Campuchia mà còn là vấn đề toàn cầu"", ông nói. Ông Hun Sen yêu cầu giới chức Campuchia tăng cường nỗ lực chống lại các vụ lừa đảo trực tuyến, nói rằng nước này cần chứng minh cho thế giới thấy rằng họ có thể xóa bỏ loại tội phạm này. ""May mắn thay, người dân của chúng ta vẫn chưa bị huấn luyện thành những kẻ lừa đảo trực tuyến. Chúng ta vẫn còn thời gian để ngăn chặn điều đó. Nếu không, trong tương lai đất nước chúng ta có thể phải chịu thiệt hại nặng nề từ các mạng lưới tội phạm này"", ông cho biết. Ông Hun Sen cũng khen ngợi chính quyền vì đã trấn áp nhiều vụ lừa đảo trực tuyến. Tuy nhiên, ông nói rằng cũng cần phải có hành động chống lại các quan chức tiếp tay cho loại tội phạm này. Khmer Times ngày 25/5 đưa tin Thủ tướng Hun Manet đã cách chức hai sĩ quan an ninh cấp cao tại tỉnh Mondulkiri vì không hoàn thành nhiệm vụ chống lại các mạng lưới lừa đảo trực tuyến hoạt động trong khu vực quản lý của họ. Ông Hun Manet đặt câu hỏi về việc nhiều chiến dịch đột kích thường thất bại vì những kẻ lừa đảo bỏ trốn khỏi hiện trường trước khi bị truy quét, cho thấy các nghi phạm dường như được báo tin trước. Trong một chiến dịch trấn áp các mạng lưới lừa đảo, thẩm phán Chhe Vivathanak của tòa án thành phố Phnom Penh ngày 22/5 phát lệnh bắt đối với thiếu tá Nuon Ninaro, cựu chỉ huy quân cảnh tại thành phố Poipet, với cáo buộc đồng lõa trong vụ lừa đảo trực tuyến và rửa tiền. Các hành vi phạm tội của Ninaro được cho là đã xảy ra tại xã O'Chrov, Poipet, tỉnh Banteay Meanchey, từ năm 2022 đến tháng 4 năm nay. Giới chức đã tịch thu 9 biệt thự hạng sang thuộc sở hữu của cựu thiếu tá này. Nếu bị kết tội theo Bộ luật Hình sự và luật chống rửa tiền, Ninaro có thể phải đối mặt với án tù lên đến 10 năm và khoản tiền phạt ít nhất 125.000 USD. Theo Bộ Nội vụ Campuchia, chỉ trong ba tuần đầu tháng 5, giới chức đã triệt phá các ổ lừa đảo trực tuyến tại 50 địa điểm. Khoảng 3.320 người thuộc 32 quốc tịch đã bị bắt trong các chiến dịch này. Trong số đó, 1.030 người bị trục xuất và 96 người phải hầu tòa. Giới chức Campuchia cũng đã giáo dục và thả 559 người được xác định không có liên hệ trực tiếp với các đường dây lừa đảo. Ngọc Ánh (Theo Khmer Times, AKP)",1,spam
K :) k :) chi tiết bạn muốn chuyển là gì? ACC Không đủ?,0,ham
"Ngày 21/4, ông Mót và bà Hằng bị TAND tỉnh An Giang xét xử tội lừa đảo chiếm đoạt tài sản. Riêng Hằng bị truy tố thêm tội Rửa tiền. Theo cáo trạng, từ năm 2018-2023, dù biết các thửa đất là đất rừng, đất Nhà nước quản lý, không thể cấp giấy chứng nhận, ông Mót vẫn giới thiệu Hằng ký hợp đồng ""làm sổ đỏ"". Thực tế, cả hai không có khả năng thực hiện nhưng vẫn đưa thông tin sai sự thật nhằm chiếm đoạt tài sản. Cụ thể, tháng 11/2021, Mót nhận lời bà Trần (TP HCM) làm sổ đỏ, rồi móc nối để Hằng ký hợp đồng, đồng thời ấn định giá 38 triệu đồng cho mỗi 1.000 m², yêu cầu ""đúng vậy mới ký"". Sau khi ký hai hợp đồng gần 200 tỷ đồng, Hằng đi xem đất, phát hiện là đất rừng nên báo lại. Mót trấn an rằng theo quy hoạch sẽ dời ranh rừng. Hằng sau đó nhận tổng cộng 22 tỷ đồng nhưng không thực hiện cam kết. Từ phần đất dôi dư 3 ha, Hằng rủ Mót tìm người mua, lừa hai bị hại mua một ha với giá 6 tỷ đồng. Để tạo niềm tin, Mót hứa ba tháng sau sẽ bán lại với giá gấp 6 lần, đồng thời cam kết làm sổ đỏ với giá 5 tỷ đồng. Hai người chiếm đoạt thêm 11 tỷ đồng. Bằng thủ đoạn tương tự, họ thực hiện thêm hai phi vụ, chiếm đoạt gần 35 tỷ đồng. 'Em gái nuôi' khai làm theo chỉ đạo của ông Mót Cơ quan tố tụng xác định Mót giữ vai trò tạo niềm tin, trực tiếp trao đổi, thúc giục chuyển tiền; Hằng đứng tên nhận tiền qua tài khoản. Sau khi nhận, Hằng khai đưa tiền mặt cho Mót hoặc chuyển qua nhiều tài khoản trung gian theo yêu cầu. Ngoài ra, Hằng bị cáo buộc rửa tiền khi dùng gần 21 tỷ đồng mua bất động sản, nhờ người khác đứng tên hoặc giữ hộ để che giấu nguồn gốc. Tại tòa, Hằng thừa nhận hành vi, khai nhiều lần ký hợp đồng theo đề nghị của Mót vì ""anh là người Nhà nước không thể ký"". Khi lo ngại vi phạm pháp luật, bà được trấn an: ""Anh là trưởng công an thành phố, không thể có chuyện phạm pháp"". Ông Mót phủ nhận cầm tiền, nói bị hại tự chuyển khoản Trái với lời khai của Hằng, ông Mót bác bỏ cáo buộc đồng phạm. Cựu đại tá thừa nhận có giới thiệu người có nhu cầu làm sổ đỏ cho Hằng, song khẳng định không cam kết làm được thủ tục. Ông cũng cho biết từng giới thiệu bạn bè mua đất vì nghĩ đây là ""đất có nguồn gốc"", người bán ""là người tốt"". Mót nhiều lần khẳng định không nhận tiền từ Hằng hay các bị hại. Với các khoản chuyển vào tài khoản mang tên mình, ông giải thích do ""anh em chơi thân có số tài khoản của nhau"", bị hại tự chuyển để ""tăng độ tin cậy"" cho giao dịch với Hằng. Chiều 21/4, phiên tòa sẽ tiếp tục với phần xét hỏi các bị hại và người liên quan. Ngọc Tài",1,spam
Ha.,0,ham
Thông tin quan trọng 4 Người dùng màu cam 0796XXXXXX.,1,spam
"Xin lỗi Vikky, tôi đang xem phim Olave Mandara Kano trong Nhà hát Trishul với bạn bè của tôi ..",0,ham
"Bạn là người chiến thắng, bạn đã được lựa chọn đặc biệt 2 nhận ’£ 1000 tiền mặt hoặc 4* Holiday (Flights Inc) Nói chuyện với Nhà điều hành trực tiếp 2 Yêu cầu 0871277810810",1,spam
"Cô gái “tự sướng” 101 lần liên tiếp trong suốt 12 giờ liền và cái kết gây sốc
Tin vừa nhận được từ bệnh viện. Một cô gái tên H sống tại quận Bình Thạnh TPHCM được đưa đi cấp cứu sáng ngày 29/10 đã tử vong vì cơ thể kiệt sức. Bác sĩ bệnh viện cho hay cô gái đã kiệt sức đến mức không thở nổi nên đã tử vong.
Nguyên nhân được xác định là cô gái đã có hành động tự sướng liên tục cường độ cao từ 5h tối đến 5h sáng hôm sau. Bác sĩ ước đoán rằng cô đã thực hiện 101 lần tự sướng liên tục và lên đỉnh tới 51 lần. Rất nhiều tranh ảnh mát mẻ và phim người lớn cũng đã được tìm thấy tại khu nhà ở của cô.
Tự sướng liên tục 101 lần trong 12 giờ liền là nguyên nhân khiến cô gái tử vong
Ảnh Internet
Bạn bè H cho hay H là một cô gái tốt, ngoại hình tương đối đẹp và cũng có nhiều người theo đuổi, suốt mấy tháng vừa rồi H chỉ ngồi trong vòng ôm chặt cái laptop, cô rất ít ra ngoài trừ khi đi ăn, hoặc cần mua gì đó. Đến hôm nay thì xảy ra sự việc không ai ngờ ngày.
Nguyên nhân vì sao H lại tự sướng tột độ như vậy được bác sĩ cho hay là cô bị rối loạn hóc môn sinh d.ục nữ làm hàm lượng chất k.ích th..ích tăng cao và ham muốn lên đến tột độ không kiềm chế nổi bản thân mình, khiến cô lúc nào cũng cảm thấy nóng ran trong người, và phải “tự sướng” để giải tỏa.
Sự việc đau lòng ngày cũng là một lời cảnh tỉnh cho những ai đang bị nghiện chứng “tự sướng” cường độ cao bất thường nên đi khám bác sĩ ngay để được tư vấn và điều trị.
Thực chất việc “tự sướng” là hiện tượng sinh lý bình thường để giải quyết nhu cầu ở mọi lứa tuổi , đặc biệt là giới trẻ, những người chưa lập gia định hoặc có cuộc sống vợ chồng bế tắc.
Tự sướng cũng giúp chúng ta giảm bớt căng thẳng và xả streets. Tuy nhiên tự sướng với cường độ lớn liên tục là một thảm họa như trường hợp của H còn khá hi hữu cần đề phòng để tránh những hậu quả đáng tiếc.",1,spam
